                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.94758,                 1.1565,                 1.3402,                0.53113,                0.50298,                0.50966,                0.42342,                0.84418,                 1.6734,                  1.274,               0.004786,               0.004786,               0.004786
                     81,                  0.942,                 1.1487,                 1.3309,                0.61288,                0.45392,                0.51002,                0.42508,                0.84615,                  1.669,                 1.2733,                0.00472,                0.00472,                0.00472
                     82,                 0.9376,                 1.1455,                 1.3243,                0.58132,                0.48252,                0.51884,                0.43206,                0.84644,                 1.6712,                 1.2719,               0.004654,               0.004654,               0.004654
                     83,                0.93891,                 1.1312,                 1.3377,                0.61083,                0.46731,                0.51989,                0.43133,                0.84873,                  1.653,                 1.2737,               0.004588,               0.004588,               0.004588
                     84,                0.93382,                 1.1069,                 1.3259,                0.62559,                0.45756,                0.51881,                0.42961,                0.84636,                 1.6409,                  1.272,               0.004522,               0.004522,               0.004522
                     85,                0.92332,                 1.0948,                 1.3208,                0.60693,                0.46769,                0.51608,                 0.4266,                0.84869,                 1.6445,                 1.2751,               0.004456,               0.004456,               0.004456
                     86,                0.92007,                 1.1024,                 1.3233,                 0.6144,                0.46548,                0.51671,                0.42518,                0.84916,                 1.6474,                 1.2761,                0.00439,                0.00439,                0.00439
                     87,                 0.9291,                 1.0823,                 1.3198,                0.63372,                0.45906,                 0.5158,                0.42577,                0.84345,                  1.667,                 1.2717,               0.004324,               0.004324,               0.004324
                     88,                0.91393,                 1.0772,                 1.3148,                0.59378,                0.47658,                0.51582,                0.42617,                0.84182,                  1.673,                 1.2709,               0.004258,               0.004258,               0.004258
                     89,                0.90824,                   1.06,                 1.3051,                0.61559,                0.46713,                0.51571,                0.42611,                 0.8391,                 1.6685,                 1.2681,               0.004192,               0.004192,               0.004192
                     90,                0.91184,                 1.0683,                 1.3077,                0.63542,                 0.4683,                0.51887,                0.42859,                0.83954,                 1.6611,                 1.2723,               0.004126,               0.004126,               0.004126
                     91,                0.91588,                 1.0613,                 1.3099,                0.60176,                0.48227,                0.52016,                0.42829,                 0.8423,                  1.668,                 1.2736,                0.00406,                0.00406,                0.00406
                     92,                0.90774,                 1.0526,                 1.3046,                0.57604,                0.47964,                0.51792,                0.42601,                0.84359,                 1.6757,                  1.273,               0.003994,               0.003994,               0.003994
                     93,                0.90209,                 1.0323,                 1.3051,                0.61431,                0.46565,                0.51746,                0.42673,                 0.8451,                 1.6717,                 1.2766,               0.003928,               0.003928,               0.003928
                     94,                0.89724,                 1.0167,                 1.2964,                0.59261,                 0.4762,                0.51665,                0.42542,                0.84509,                 1.6747,                 1.2765,               0.003862,               0.003862,               0.003862
                     95,                 0.8998,                  1.018,                 1.3004,                0.56982,                0.49164,                0.51661,                0.42456,                0.84602,                  1.676,                 1.2777,               0.003796,               0.003796,               0.003796
                     96,                 0.8858,                 1.0084,                 1.2874,                0.54803,                0.50982,                0.52066,                0.42698,                0.84762,                 1.6761,                 1.2785,                0.00373,                0.00373,                0.00373
                     97,                0.88643,                 0.9882,                 1.2875,                0.56752,                0.50901,                0.51976,                0.42661,                0.84969,                 1.6797,                 1.2795,               0.003664,               0.003664,               0.003664
                     98,                0.88874,                0.98585,                  1.285,                0.54535,                0.51729,                0.51884,                0.42821,                0.84841,                 1.6688,                  1.279,               0.003598,               0.003598,               0.003598
                     99,                0.88123,                0.97783,                 1.2769,                0.54533,                0.52509,                0.52071,                0.42928,                0.84953,                 1.6659,                 1.2788,               0.003532,               0.003532,               0.003532
                    100,                0.87497,                0.96662,                 1.2708,                0.54849,                0.51856,                0.52126,                0.42857,                 0.8499,                  1.664,                 1.2797,               0.003466,               0.003466,               0.003466
                    101,                0.87194,                0.97565,                 1.2737,                0.54214,                0.53432,                0.52268,                0.43068,                0.84986,                 1.6657,                 1.2803,                 0.0034,                 0.0034,                 0.0034
                    102,                0.87474,                0.95459,                 1.2748,                0.53643,                0.53045,                0.52185,                0.42959,                0.85141,                 1.6592,                  1.282,               0.003334,               0.003334,               0.003334
                    103,                0.87354,                0.94703,                 1.2722,                 0.5817,                0.49008,                0.52065,                0.42972,                0.84947,                 1.6554,                 1.2805,               0.003268,               0.003268,               0.003268
